date,predicted_fx
2025-08-01,948.1520965775848
2025-08-02,945.248468567431
2025-08-03,943.0835045221448
2025-08-04,939.5589645808936
2025-08-05,941.4392016613484
2025-08-06,941.5657760307192
2025-08-07,941.4875979918244
2025-08-08,943.7208465772868
2025-08-09,939.168597316444
2025-08-10,942.8621364340188
2025-08-11,943.0246242880822
2025-08-12,940.2494093367458
2025-08-13,938.6954131177068
2025-08-14,941.7151821997762
2025-08-15,939.413547861874
2025-08-16,937.7829255253076
2025-08-17,938.389532789886
2025-08-18,938.9006209811567
2025-08-19,942.6221368551256
2025-08-20,941.7314520710707
2025-08-21,938.8347486665846
2025-08-22,937.0083565101028
2025-08-23,933.5790994802118
2025-08-24,932.6516156041624
2025-08-25,935.7356207358838
2025-08-26,930.7702061483265
2025-08-27,929.569896182716
2025-08-28,933.2436904746296
2025-08-29,935.8661002117396
2025-08-30,928.1163025286794
2025-08-31,932.8464829480648
2025-09-01,935.5493564343452
2025-09-02,934.979590433538
2025-09-03,936.3842479583622
2025-09-04,937.9786025673152
2025-09-05,939.3461657977105
2025-09-06,938.9052345734837
2025-09-07,939.3674456760288
2025-09-08,930.5312608638408
2025-09-09,930.9158084231616
2025-09-10,927.4205947351456
2025-09-11,928.4566962382198
2025-09-12,930.4642330425978
2025-09-13,930.988360747099
2025-09-14,930.9087994739414
2025-09-15,936.4300971135498
2025-09-16,937.6660844019056
2025-09-17,934.174986679256
2025-09-18,938.6634384769202
2025-09-19,938.6960963004828
2025-09-20,938.3650056847932
2025-09-21,939.9226118078828
2025-09-22,940.2953006637096
2025-09-23,941.0608196157218
2025-09-24,940.5568921920658
2025-09-25,944.1702543285488
2025-09-26,946.983929939866
2025-09-27,948.077899554372
2025-09-28,946.1406546667218
2025-09-29,945.2018012797834
2025-09-30,940.245571705103
2025-10-01,941.4707292813064
2025-10-02,939.636206406355
2025-10-03,941.3187759369612
2025-10-04,940.1221264815332
2025-10-05,946.5382164362072
2025-10-06,948.4901455363632
2025-10-07,949.3599974629284
2025-10-08,949.1534316682817
2025-10-09,948.880681487918
2025-10-10,950.0951189985872
2025-10-11,947.9181191283463
2025-10-12,946.9840986269712
2025-10-13,944.1582522410156
2025-10-14,944.637568216026
2025-10-15,946.0951428857446
2025-10-16,943.5155375015736
2025-10-17,946.8890603119136
2025-10-18,941.9350152352451
2025-10-19,938.963035210073
2025-10-20,941.8829836976528
2025-10-21,948.5221033084392
2025-10-22,948.627271284163
2025-10-23,951.770013265908
2025-10-24,949.9357434216142
2025-10-25,952.2781241297722
2025-10-26,951.077493658662
2025-10-27,946.1750330987574
2025-10-28,950.9990794578196
2025-10-29,951.2676461979748
2025-10-30,957.0564394146204
2025-10-31,954.7363001012804
2025-11-01,948.1520965775848
2025-11-02,945.248468567431
2025-11-03,943.0835045221448
2025-11-04,939.5589645808936
2025-11-05,941.4392016613484
2025-11-06,941.5657760307192
2025-11-07,941.4875979918244
2025-11-08,943.7208465772868
2025-11-09,939.168597316444
2025-11-10,942.8621364340188
2025-11-11,943.0246242880822
2025-11-12,940.2494093367458
2025-11-13,938.6954131177068
2025-11-14,941.7151821997762
2025-11-15,939.413547861874
2025-11-16,937.7829255253076
2025-11-17,938.389532789886
2025-11-18,938.9006209811567
2025-11-19,942.6221368551256
2025-11-20,941.7314520710707
2025-11-21,938.8347486665846
2025-11-22,937.0083565101028
2025-11-23,933.5790994802118
2025-11-24,932.6516156041624
2025-11-25,935.7356207358838
2025-11-26,930.7702061483265
2025-11-27,929.569896182716
2025-11-28,933.2436904746296
2025-11-29,935.8661002117396
2025-11-30,928.1163025286794
2025-12-01,932.8464829480648
2025-12-02,935.5493564343452
2025-12-03,934.979590433538
2025-12-04,936.3842479583622
2025-12-05,937.9786025673152
2025-12-06,939.3461657977105
2025-12-07,938.9052345734837
2025-12-08,939.3674456760288
2025-12-09,930.5312608638408
2025-12-10,930.9158084231616
2025-12-11,927.4205947351456
2025-12-12,928.4566962382198
2025-12-13,930.4642330425978
2025-12-14,930.988360747099
2025-12-15,930.9087994739414
2025-12-16,936.4300971135498
2025-12-17,937.6660844019056
2025-12-18,934.174986679256
2025-12-19,938.6634384769202
2025-12-20,938.6960963004828
2025-12-21,938.3650056847932
2025-12-22,939.9226118078828
2025-12-23,940.2953006637096
2025-12-24,941.0608196157218
2025-12-25,940.5568921920658
2025-12-26,944.1702543285488
2025-12-27,946.983929939866
2025-12-28,948.077899554372
2025-12-29,946.1406546667218
2025-12-30,945.2018012797834
2025-12-31,940.245571705103
